HomeWin,HomeNumWins,VisitorNumWins,HomeWins2019,VisitorWins2019,HomeLosses2019,VisitorLosses2019,TotalHomeWins2019,TotalVisitorWins2019,Net Home Season Score,Net Away Season Score
1,10,2,31,6,10,35,51,19,96,-179
1,8,5,31,7,10,34,53,19,118,30
1,8,3,29,29,12,12,50,33,-4,-168
1,6,6,23,20,18,21,42,54,-10,99
0,5,2,25,29,16,12,39,29,-177,-214
1,9,4,19,13,22,28,39,22,120,-73
1,11,6,31,26,10,15,51,58,143,152
0,4,3,22,22,19,19,32,48,-79,142
0,8,3,24,15,17,26,33,39,226,-79
0,4,2,32,22,9,19,53,49,-53,-11
1,9,7,22,30,19,11,37,36,220,-33
0,9,4,29,22,12,19,48,48,109,158
1,9,2,28,6,13,35,49,19,151,-226
0,4,6,9,26,32,15,22,58,-78,146
0,9,4,31,15,10,26,53,39,124,-75
1,10,3,33,17,8,24,60,42,312,9
0,4,2,19,15,22,26,33,41,-161,6
1,5,7,29,30,12,11,19,36,24,-50
0,9,3,29,22,12,19,50,49,10,1
0,2,3,30,29,11,12,57,33,-224,-182
1,5,3,25,31,16,10,39,32,-192,-95
1,10,3,19,29,22,12,39,29,125,-199
1,12,6,31,20,10,21,51,54,149,96
1,4,1,32,8,9,33,53,17,-65,-238
0,3,6,13,22,28,19,19,53,-248,123
1,9,7,29,21,12,20,48,49,98,173
0,8,11,25,15,16,26,42,37,0,237
0,9,5,32,22,9,19,58,48,147,169
0,7,4,23,14,18,27,42,39,-7,-185
1,4,3,9,29,32,12,22,29,-79,-213
0,3,4,25,21,16,20,36,50,-66,-4
0,6,4,29,29,12,12,19,33,40,-174
1,11,2,33,14,8,27,60,33,321,-163
1,5,4,24,22,17,19,39,49,-74,15
0,2,1,30,8,11,33,57,17,-232,-266
0,10,5,28,20,13,21,49,51,168,154
0,7,2,32,6,9,35,48,19,-87,-254
0,7,8,26,9,15,32,41,33,8,222
1,8,5,34,21,7,20,54,53,91,-37
0,11,12,19,15,22,26,39,37,139,246
0,8,7,25,22,16,19,42,53,-9,129
1,13,2,31,14,10,27,51,33,160,-178
0,3,6,17,19,24,22,29,48,-247,103
0,5,5,9,14,32,27,22,39,-45,-180
0,3,10,21,27,20,14,33,60,-167,336
1,9,3,29,27,12,14,50,57,7,-234
0,3,6,25,22,16,19,36,48,-77,189
0,6,2,24,8,17,33,39,17,-73,-264
0,6,2,29,16,12,25,19,48,33,-95
1,9,6,32,19,9,22,58,42,127,-12
1,5,7,9,22,32,19,22,48,-55,196
1,3,3,21,31,20,10,33,32,-180,-102
0,8,7,24,20,17,21,33,39,233,136
1,12,3,33,6,8,35,60,19,349,-246
1,9,4,34,22,7,19,54,49,106,14
0,9,3,31,15,10,26,53,41,152,-3
0,4,3,19,17,22,24,33,42,-185,-32
1,10,6,29,14,12,27,48,39,113,-170
0,3,13,17,15,24,26,29,37,-257,249
1,7,6,23,20,18,21,42,51,-20,167
1,10,3,34,8,7,33,54,17,114,-262
0,2,5,30,15,11,26,57,39,-242,-75
0,7,3,26,31,15,10,41,32,5,-119
1,10,3,32,6,9,35,58,19,135,-263
1,9,3,31,16,10,25,53,48,144,-93
1,4,8,21,20,20,21,33,39,-163,140
0,13,9,33,9,8,32,60,33,366,229
1,7,4,27,13,14,28,49,22,6,-52
0,6,5,29,21,12,20,19,53,31,-52
1,6,6,25,15,16,26,39,39,-192,-54
1,11,14,29,15,12,26,48,37,135,254
1,3,3,9,29,32,12,17,29,-268,-262
0,4,6,19,19,22,22,33,42,-196,0
1,10,4,29,17,12,24,50,42,15,-21
1,13,5,26,7,15,34,48,19,193,30
1,3,6,13,14,28,27,19,39,-283,-184
0,7,7,26,26,15,15,41,58,-9,155
0,14,8,31,20,10,21,51,39,147,133
0,4,4,22,13,19,28,32,22,-105,-55
0,3,2,25,14,16,27,36,33,-84,-203
1,8,5,27,29,14,12,49,33,9,-156
1,11,4,34,17,7,24,54,42,120,-28
0,8,7,24,21,17,20,33,49,233,162
1,5,3,32,27,9,14,53,57,-51,-263
0,3,5,17,21,24,20,29,50,-285,22
1,13,14,33,15,8,26,60,37,362,251
1,7,7,32,19,9,22,48,42,-95,7
0,14,8,26,22,15,19,48,53,214,146
1,4,5,13,29,28,12,19,33,-281,-160
1,12,6,29,15,12,26,48,39,138,-62
1,10,4,28,15,13,26,49,41,168,-22
1,11,4,32,31,9,10,58,32,168,-106
1,11,3,19,8,22,33,39,17,137,-245
1,9,5,27,7,14,34,49,19,13,9
0,14,10,31,9,10,32,51,33,143,227
1,12,7,34,30,7,11,54,36,129,-92
1,6,4,32,17,9,24,53,42,-41,-37
1,2,3,30,14,11,27,57,33,-273,-195
0,7,6,25,21,16,20,39,50,-186,27
1,8,3,23,29,18,12,42,29,-6,-290
0,7,5,26,13,15,28,41,22,-43,-54
1,14,4,31,31,10,10,51,32,124,-110
0,4,11,9,27,32,14,17,60,-260,369
1,5,6,21,15,20,26,33,39,-167,-76
0,8,7,32,22,9,19,48,48,-82,209
0,6,9,29,22,12,19,19,53,-9,151
1,7,7,32,30,9,11,53,36,-26,-101
1,12,11,32,9,9,32,58,33,172,246
1,11,6,28,14,13,27,49,39,189,-193
1,14,7,33,19,8,22,60,48,390,152
1,10,8,27,22,14,19,49,48,31,234
0,10,6,22,20,19,21,37,54,244,138
1,5,3,13,29,28,12,19,29,-274,-300
0,7,6,26,20,15,21,41,51,-55,141
1,13,8,29,26,12,15,48,58,124,175
0,4,4,9,31,32,10,17,32,-281,-127
1,8,6,25,13,16,28,42,22,-52,-42
1,12,7,19,21,22,20,39,50,152,34
0,6,3,21,16,20,25,33,48,-163,-107
0,6,7,29,20,12,21,19,54,-23,162
0,8,3,32,14,9,27,53,33,-19,-199
0,6,10,24,22,17,19,39,53,-80,165
